Unnamed: 0,id.orig_p,id.resp_p,proto,service,flow_duration,fwd_pkts_tot,bwd_pkts_tot,fwd_data_pkts_tot,bwd_data_pkts_tot,fwd_pkts_per_sec,bwd_pkts_per_sec,flow_pkts_per_sec,down_up_ratio,fwd_header_size_tot,fwd_header_size_min,fwd_header_size_max,bwd_header_size_tot,bwd_header_size_min,bwd_header_size_max,flow_FIN_flag_count,flow_SYN_flag_count,flow_RST_flag_count,fwd_PSH_flag_count,bwd_PSH_flag_count,flow_ACK_flag_count,fwd_URG_flag_count,bwd_URG_flag_count,flow_CWR_flag_count,flow_ECE_flag_count,fwd_pkts_payload.min,fwd_pkts_payload.max,fwd_pkts_payload.tot,fwd_pkts_payload.avg,fwd_pkts_payload.std,bwd_pkts_payload.min,bwd_pkts_payload.max,bwd_pkts_payload.tot,bwd_pkts_payload.avg,bwd_pkts_payload.std,flow_pkts_payload.min,flow_pkts_payload.max,flow_pkts_payload.tot,flow_pkts_payload.avg,flow_pkts_payload.std,fwd_iat.min,fwd_iat.max,fwd_iat.tot,fwd_iat.avg,fwd_iat.std,bwd_iat.min,bwd_iat.max,bwd_iat.tot,bwd_iat.avg,bwd_iat.std,flow_iat.min,flow_iat.max,flow_iat.tot,flow_iat.avg,flow_iat.std,payload_bytes_per_second,fwd_subflow_pkts,bwd_subflow_pkts,fwd_subflow_bytes,bwd_subflow_bytes,fwd_bulk_bytes,bwd_bulk_bytes,fwd_bulk_packets,bwd_bulk_packets,fwd_bulk_rate,bwd_bulk_rate,active.min,active.max,active.tot,active.avg,active.std,idle.min,idle.max,idle.tot,idle.avg,idle.std,fwd_init_window_size,bwd_init_window_size,fwd_last_window_size,Attack_type
35.0,60995.0,1883.0,tcp,mqtt,32.052456,9.0,5.0,3.0,3.0,0.28079,0.155994,0.436784,0.555556,296.0,32.0,40.0,168.0,32.0,40.0,0.0,2.0,1.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,33.0,76.0,,13.115935999999998,0.0,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,240.802765,29787029.981613,32052455.9021,4006556.987762,10424540.500337,2333.164215,1515519.857407,2015694.856644,503923.714161,684342.5847359999,240.802765,29787029.981613,32052455.9021,2465573.530931,8216274.1199710015,3.369477,3.0,1.666667,25.333333,10.666667,0.0,0.0,0.0,,0.0,0.0,2265425.920486,2265425.920486,2265425.920486,2265425.920486,0.0,29787029.981613,29787029.981613,29787029.981613,29787029.981613,0.0,64240.0,26847.0,502.0,
46.0,35285.0,1883.0,tcp,mqtt,32.074138,9.0,5.0,3.0,3.0,0.2806,0.155889,0.436489,0.555556,296.0,32.0,40.0,168.0,32.0,40.0,0.0,2.0,1.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,518.083572,29795946.836472,32074137.926102,4009267.240763,10426684.113799,2654.075623,1499743.938446,2018791.913986,504697.978497,674213.740346,518.083572,29795946.836472,32074137.926102,2467241.3789310004,8218200.189261,3.367199,3.0,1.666667,25.333333,10.666667,0.0,0.0,0.0,0.0,0.0,0.0,2278191.08963,2278191.08963,2278191.08963,2278191.08963,0.0,29795946.836472,29795946.836472,29795946.836472,,0.0,64240.0,26847.0,502.0,
53.0,56301.0,1883.0,tcp,mqtt,31.964128,9.0,5.0,3.0,3.0,0.281566,0.156425,0.437991,0.555556,296.0,32.0,40.0,168.0,32.0,40.0,0.0,2.0,1.0,3.0,,13.0,0.0,0.0,0.0,0.0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,,9.555103,0.0,33.0,108.0,7.714286,11.618477,241.041183,29757014.989853,31964128.017426006,3995516.002178,10421632.185132,3773.927689,1716547.966003,2034918.785095,508729.696274,808460.4455350002,241.041183,,31964128.017426006,2458779.078264,8212708.774991998,3.378788,3.0,1.666667,25.333333,10.666667,0.0,0.0,0.0,0.0,0.0,0.0,2207113.027573,,2207113.027573,2207113.027573,0.0,29757014.989853,29757014.989853,29757014.989853,29757014.989853,0.0,64240.0,26847.0,502.0,
54.0,38505.0,,tcp,mqtt,,9.0,5.0,3.0,3.0,0.281465,0.156369,0.437834,0.555556,296.0,,40.0,168.0,32.0,40.0,,2.0,1.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,253.915787,29885917.901993,31975608.110428,3996951.013803,10472080.236636,817.060471,1632269.859314,1936343.90831,484085.977077,768755.806231,253.915787,29885917.901993,31975608.110428,2459662.162341,8250277.073586,3.377575,3.0,1.666667,25.333333,10.666667,0.0,0.0,0.0,0.0,,0.0,2089690.208435,2089690.208435,2089690.208435,2089690.208435,0.0,29885917.901993,29885917.901993,29885917.901993,29885917.901993,0.0,64240.0,,,
61.0,48921.0,1883.0,tcp,mqtt,32.06554000000001,9.0,5.0,3.0,3.0,0.280675,0.155931,0.4366060000000001,0.555556,296.0,32.0,40.0,,32.0,40.0,0.0,2.0,1.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,33.0,74.0,8.222222,12.852799,0.0,21.0,30.0,6.0,8.689074,0.0,33.0,104.0,7.428571000000002,11.229866,252.008438,29791335.105896004,32065540.075302,4008192.509413,10425434.439883,1452.922821,1509459.972382,2021775.960922,505443.99023100006,,252.008438,29791335.105896004,32065540.075302,2466580.005792,8217129.2129,,,1.666667,24.666667,10.0,0.0,0.0,0.0,0.0,0.0,,2274204.9694060003,2274204.9694060003,2274204.9694060003,2274204.9694060003,0.0,29791335.105896004,29791335.105896004,29791335.105896004,29791335.105896004,,64240.0,26847.0,502.0,
80.0,41839.0,1883.0,tcp,mqtt,31.909629,9.0,5.0,3.0,3.0,0.282047,0.156693,0.4387390000000001,0.555556,296.0,32.0,40.0,168.0,32.0,40.0,0.0,2.0,1.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,285.148621,29865759.849548,31909628.868103,3988703.608513,10465646.17634,3983.020782,1552412.986755,1880007.982254,470001.995564,725433.4370520002,285.148621,29865759.849548,31909628.868103,2454586.836008,8244479.462723,,3.0,1.666667,25.333333,10.666667,,0.0,0.0,0.0,0.0,0.0,2043869.018555,2043869.018555,2043869.018555,,0.0,29865759.849548,29865759.849548,29865759.849548,29865759.849548,0.0,64240.0,26847.0,502.0,
93.0,41893.0,1883.0,tcp,mqtt,32.210412,9.0,5.0,,3.0,0.279413,0.155229,0.434642,0.555556,296.0,32.0,40.0,168.0,32.0,40.0,0.0,2.0,1.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,33.0,76.0,,13.115935999999998,0.0,,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,259.876251,,32210412.025452007,4026301.503181,10467098.166446,2614.974976,1504009.962082,2045675.039291,511418.759823,673663.570524,259.876251,29912703.990936,32210412.025452007,2477724.001958,8250240.678087,3.352953,3.0,1.666667,25.333333,10.666667,0.0,0.0,0.0,0.0,0.0,0.0,2297708.034515,2297708.034515,2297708.034515,2297708.034515,0.0,29912703.990936,29912703.990936,29912703.990936,29912703.990936,0.0,64240.0,26847.0,502.0,
110.0,54703.0,1883.0,tcp,mqtt,31.992867,9.0,5.0,3.0,3.0,0.281313,0.1562849999999999,0.4375979999999999,0.555556,296.0,32.0,40.0,168.0,32.0,40.0,0.0,2.0,1.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,262.97569300000004,29756907.939911,31992866.99295,3999108.374119,10417304.818175,20230.054855,1655515.909195,2036957.979202,509239.49480100005,767953.9474020002,262.97569300000004,29756907.939911,,2460989.7686880003,8209991.716971002,3.375752,3.0,1.666667,25.333333,10.666667,0.0,,0.0,0.0,0.0,0.0,2235959.05304,2235959.05304,2235959.05304,2235959.05304,0.0,29756907.939911,29756907.939911,29756907.939911,29756907.939911,0.0,64240.0,26847.0,502.0,
,38671.0,1883.0,tcp,mqtt,32.062451,9.0,5.0,3.0,3.0,0.280702,,0.436648,0.555556,296.0,32.0,40.0,168.0,32.0,40.0,0.0,2.0,1.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,,33.0,76.0,8.444444,13.115935999999998,,23.0,32.0,6.4,9.555103,0.0,33.0,108.0,7.714286,11.618477,524.997711,29745433.807373,,4007806.360722,10407163.068502,,1536979.1984559996,2056922.197342,514230.5493350001,692419.996453,524.997711,29745433.807373,32062450.885773,2466342.375829,8203564.114505,3.3684260000000004,,1.666667,25.333333,10.666667,0.0,,0.0,0.0,0.0,0.0,2317017.0784,2317017.0784,2317017.0784,2317017.0784,0.0,29745433.807373,29745433.807373,29745433.807373,29745433.807373,0.0,64240.0,26847.0,502.0,
135.0,38471.0,1883.0,tcp,mqtt,32.076809999999995,9.0,5.0,3.0,3.0,0.280577,0.155876,0.4364520000000001,0.555556,296.0,32.0,40.0,168.0,32.0,40.0,0.0,2.0,1.0,3.0,3.0,13.0,0.0,0.0,0.0,0.0,0.0,33.0,76.0,8.444444,13.115935999999998,0.0,23.0,32.0,6.4,,0.0,33.0,108.0,7.714286,11.618477,416.994095,29776723.861694,32076809.883118,4009601.23539,10419084.556324,5759.954453,1523308.992386,2042034.14917,510508.537292,685468.803729,416.994095,29776723.861694,32076809.883118,2467446.914086,8212618.004876,3.366918,3.0,1.666667,25.333333,,0.0,0.0,0.0,0.0,,0.0,2300086.021423,2300086.021423,2300086.021423,,0.0,29776723.861694,29776723.861694,29776723.861694,29776723.861694,0.0,64240.0,26847.0,502.0,
